clip,max_torso_angle,max_hip_velocity,resting_torso_angle,torso_angle_std,velocity_std,dropout_rate,angle_range,frames_above_velocity_threshold
adl-01-cam0,18.221361657330377,0.4584556818008439,1.8227747574197792,5.938895029763396,0.24735122099323004,0.3866666666666667,18.1134798572806,0
adl-02-cam0,7.773772550493584,0.4542616009712235,1.254571214689853,2.7059901231022696,0.19134363513810723,0.5222222222222221,7.7673036792673695,0
adl-03-cam0,11.405021826352344,0.5300384759902902,1.0159245332508675,3.087210893421615,0.18997284244604226,0.26111111111111107,11.142892248150277,0
adl-04-cam0,89.41727730256375,0.1076947152614583,1.672799248828132,32.0980194415654,0.10573464759717675,0.2866666666666666,88.48636400667475,0
adl-05-cam0,66.69058716247741,0.1929916441440537,1.2739737958578878,22.690265499357526,0.17051058803996558,0.24444444444444446,66.68790590266494,0
fall-01-cam0,89.53847283134077,1.037526726722721,8.754747073259205,19.47143104060414,0.31033569683970047,0.59375,89.53138017702614,3
fall-01-cam1,34.78919581681391,1.193156484514479,1.1539485013958453,7.264990219412078,0.4453738498727264,0.15000000000000002,34.662252546561525,8
fall-02-cam0,89.58262414325064,0.8546161651611358,2.1297828034821107,29.675295084185272,0.2141616620104165,0.0,88.3794730575948,2
fall-02-cam1,89.8768313228208,0.7150090858340264,47.13844587849521,14.913269128709524,0.15535259317849962,0.11818181818181817,89.39473767581501,0
fall-03-cam0,12.274429834264158,1.1836606264114422,1.1753119574400486,3.337679875667977,0.21196282268561417,0.2093023255813954,12.245531609581327,1
fall-03-cam1,82.92872144537829,2.224963903427121,1.3710013772480274,14.54327756923215,0.4934520622685499,0.2325581395348837,82.89971171061924,9
fall-04-cam0,88.95293978550407,1.2613078951835677,7.990489150322499,24.434340866921225,0.3580174228691934,0.28125,82.14940616876198,5
fall-04-cam1,89.95809426712077,0.3409543633461011,74.2590299075504,16.423309627361792,0.11721837422612368,0.0,46.703656506507556,0
fall-05-cam0,85.74713735338212,1.7667737603187388,16.186107386007315,26.454967984609183,0.4203800437205596,0.5298013245033113,85.02987942144837,5
fall-05-cam1,32.098340907862706,1.293944567441945,1.2219125750091488,12.531537239851769,0.6309705332657043,0.19867549668874174,31.997383518243605,11
fall_01_cam1,34.78919581681391,1.193156484514479,1.1539485013958453,7.264990219412078,0.4453738498727264,0.15000000000000002,34.662252546561525,8
fall_01,89.53847283134077,1.037526726722721,8.754747073259205,19.47143104060414,0.31033569683970047,0.59375,89.53138017702614,3
